Image,Button,Status,Red_Area,Blue_Area,Red_Thickness,Blue_Thickness,Global_Offset_X,Global_Offset_Y,Misalignment_Px
1.png,button_1,OK,1436.0,1452.5,10.38,10.95,0.76,6.81,0.62
1.png,button_2,OK,1633.5,1273.5,12.29,10.13,0.76,6.81,2.11
1.png,button_3,OK,1458.5,1456.0,10.38,11.21,0.76,6.81,3.23
1.png,button_4,OK,1660.0,1220.0,12.04,10.13,0.76,6.81,2.12
1.png,button_5,OK,1345.5,1288.0,10.13,10.95,0.76,6.81,1.39
1.png,button_6,OK,1608.0,1116.5,12.29,9.3,0.76,6.81,3.32
1.png,button_7,OK,1468.0,1258.5,10.13,10.13,0.76,6.81,1.88
1.png,button_8,OK,1541.0,1115.0,12.04,9.3,0.76,6.81,0.69
10.png,button_1,OK,1421.0,1384.5,10.2,10.95,-0.93,5.86,0.99
10.png,button_2,OK,1585.5,1234.0,12.04,10.13,-0.93,5.86,1.1
10.png,button_3,OK,1539.5,1395.0,10.13,10.95,-0.93,5.86,4.4
10.png,button_4,OK,1639.0,1252.0,12.29,9.55,-0.93,5.86,0.73
10.png,button_5,OK,1411.5,1259.0,10.13,10.13,-0.93,5.86,0.58
10.png,button_6,OK,1553.5,1122.5,12.04,9.3,-0.93,5.86,3.35
10.png,button_7,OK,1438.5,1245.0,10.13,10.13,-0.93,5.86,3.32
10.png,button_8,OK,1551.5,1076.0,12.04,8.47,-0.93,5.86,1.28
11.png,button_1,OK,1498.5,1442.0,10.95,10.95,-0.59,3.01,0.96
11.png,button_2,OK,1659.0,1287.5,12.29,10.13,-0.59,3.01,0.44
11.png,button_3,OK,1585.5,1443.0,10.95,10.95,-0.59,3.01,4.56
11.png,button_4,OK,1659.5,1247.5,12.29,10.13,-0.59,3.01,0.6
11.png,button_5,OK,1383.5,1265.5,10.13,10.38,-0.59,3.01,0.73
11.png,button_6,OK,1601.0,1116.0,12.29,9.3,-0.59,3.01,3.66
11.png,button_7,OK,1498.5,1313.0,10.13,10.38,-0.59,3.01,4.31
11.png,button_8,OK,1568.5,1093.5,11.46,9.3,-0.59,3.01,0.29
12.png,button_1,OK,1475.5,1425.0,10.95,10.95,-0.66,3.14,1.17
12.png,button_2,OK,1629.0,1258.5,12.29,10.13,-0.66,3.14,0.64
12.png,button_3,OK,1508.0,1436.0,10.38,10.95,-0.66,3.14,4.57
12.png,button_4,OK,1678.0,1250.5,12.29,10.13,-0.66,3.14,0.81
12.png,button_5,OK,1349.5,1264.0,10.13,10.13,-0.66,3.14,1.22
12.png,button_6,OK,1569.5,1122.0,12.04,9.3,-0.66,3.14,3.33
12.png,button_7,OK,1445.0,1303.5,10.13,10.13,-0.66,3.14,4.2
12.png,button_8,OK,1577.5,1080.0,12.04,8.47,-0.66,3.14,0.23
13.png,button_1,OK,1380.0,1459.5,10.13,11.21,-0.87,4.04,1.29
13.png,button_2,OK,1649.0,1274.5,12.29,10.13,-0.87,4.04,1.18
13.png,button_3,OK,1422.5,1444.5,10.13,10.95,-0.87,4.04,3.61
13.png,button_4,OK,1592.5,1210.0,11.92,9.55,-0.87,4.04,2.51
13.png,button_5,OK,1352.5,1329.0,10.13,10.95,-0.87,4.04,1.21
13.png,button_6,OK,1608.0,1151.5,12.86,9.55,-0.87,4.04,3.05
13.png,button_7,OK,1430.0,1277.5,10.13,10.38,-0.87,4.04,2.69
13.png,button_8,OK,1556.0,1092.5,12.29,8.47,-0.87,4.04,0.64
14.png,button_1,OK,1436.5,1452.5,10.95,11.21,0.24,4.06,1.8
14.png,button_2,OK,1686.5,1280.0,12.86,10.13,0.24,4.06,1.12
14.png,button_3,OK,1399.0,1464.5,10.13,11.21,0.24,4.06,3.83
14.png,button_4,OK,1597.5,1269.5,11.46,9.55,0.24,4.06,2.02
14.png,button_5,OK,1400.0,1315.5,10.38,10.95,0.24,4.06,1.28
14.png,button_6,OK,1560.5,1180.5,12.04,9.55,0.24,4.06,2.78
14.png,button_7,OK,1419.5,1348.5,10.13,10.38,0.24,4.06,3.27
14.png,button_8,OK,1478.0,1121.5,11.46,9.3,0.24,4.06,0.94
15.png,button_1,OK,1480.5,1500.0,10.95,11.46,1.32,4.31,0.89
15.png,button_2,OK,1678.5,1309.5,12.86,10.13,1.32,4.31,1.26
15.png,button_3,OK,1503.5,1485.0,10.95,11.46,1.32,4.31,3.88
15.png,button_4,OK,1673.5,1255.5,12.29,9.55,1.32,4.31,1.67
15.png,button_5,OK,1429.5,1332.5,10.13,10.95,1.32,4.31,0.82
15.png,button_6,OK,1644.5,1155.5,12.86,9.3,1.32,4.31,3.62
15.png,button_7,OK,1433.5,1329.5,10.13,10.95,1.32,4.31,2.14
15.png,button_8,OK,1574.0,1127.5,12.86,9.3,1.32,4.31,0.5
16.png,button_1,OK,1419.5,1432.5,10.13,10.95,0.21,5.87,0.14
16.png,button_2,OK,1633.0,1273.5,12.29,10.13,0.21,5.87,1.58
16.png,button_3,OK,1450.0,1450.0,10.13,10.95,0.21,5.87,3.95
16.png,button_4,OK,1627.5,1275.0,12.04,10.13,0.21,5.87,0.75
16.png,button_5,OK,1365.5,1279.5,9.55,10.13,0.21,5.87,1.25
16.png,button_6,OK,1518.0,1069.5,12.04,8.47,0.21,5.87,5.22
16.png,button_7,OK,1429.5,1313.0,10.13,10.95,0.21,5.87,4.37
16.png,button_8,OK,1560.0,1111.0,12.29,9.3,0.21,5.87,0.07
17.png,button_1,OK,1463.0,1406.0,10.38,10.95,-0.65,5.66,0.57
17.png,button_2,OK,1646.0,1249.5,12.04,9.55,-0.65,5.66,1.69
17.png,button_3,OK,1551.0,1447.5,10.38,10.95,-0.65,5.66,3.9
17.png,button_4,OK,1669.5,1275.0,12.04,10.13,-0.65,5.66,1.03
17.png,button_5,OK,1397.5,1310.5,10.13,10.38,-0.65,5.66,1.16
17.png,button_6,OK,1579.5,1118.0,12.04,9.3,-0.65,5.66,3.15
17.png,button_7,OK,1484.5,1323.5,10.13,10.95,-0.65,5.66,3.46
17.png,button_8,OK,1597.0,1140.5,12.04,9.3,-0.65,5.66,0.99
18.png,button_1,OK,1422.5,1416.0,10.38,10.95,-1.93,5.94,1.79
18.png,button_2,OK,1600.0,1210.5,12.04,9.55,-1.93,5.94,1.09
18.png,button_3,OK,1494.5,1416.0,10.13,10.95,-1.93,5.94,4.43
18.png,button_4,OK,1593.5,1224.0,12.04,9.55,-1.93,5.94,1.05
18.png,button_5,OK,1458.0,1268.0,10.3,10.38,-1.93,5.94,0.66
18.png,button_6,OK,1524.5,1102.0,11.46,8.47,-1.93,5.94,3.11
18.png,button_7,OK,1496.5,1251.0,10.13,10.13,-1.93,5.94,4.42
18.png,button_8,OK,1568.0,1117.5,12.04,9.3,-1.93,5.94,1.12
19.png,button_1,OK,1431.0,1444.5,10.38,11.21,-0.5,5.63,1.16
19.png,button_2,OK,1668.0,1286.5,12.29,10.13,-0.5,5.63,1.46
19.png,button_3,OK,1428.0,1422.0,10.13,10.95,-0.5,5.63,4.36
19.png,button_4,OK,1598.5,1237.5,12.04,9.55,-0.5,5.63,1.76
19.png,button_5,OK,1347.5,1304.0,10.13,10.95,-0.5,5.63,0.75
19.png,button_6,OK,1581.5,1125.5,12.29,9.3,-0.5,5.63,2.58
19.png,button_7,OK,1424.0,1278.0,10.13,10.38,-0.5,5.63,2.17
19.png,button_8,OK,1553.5,1065.0,12.29,8.47,-0.5,5.63,0.78
2.png,button_1,OK,1493.5,1438.0,10.38,10.95,-0.43,2.31,0.84
2.png,button_2,OK,1637.5,1270.5,12.29,9.55,-0.43,2.31,0.75
2.png,button_3,OK,1607.0,1439.5,10.95,10.95,-0.43,2.31,3.76
2.png,button_4,OK,1689.5,1248.0,12.86,9.95,-0.43,2.31,0.73
2.png,button_5,OK,1426.5,1268.5,10.13,10.13,-0.43,2.31,0.64
2.png,button_6,OK,1603.0,1117.5,12.04,9.3,-0.43,2.31,3.57
2.png,button_7,OK,1438.0,1312.0,10.13,10.38,-0.43,2.31,3.77
2.png,button_8,OK,1579.5,1045.0,12.04,8.22,-0.43,2.31,0.59
20.png,button_1,OK,1425.0,1450.0,10.44,10.95,0.47,5.71,1.32
20.png,button_2,OK,1659.0,1264.5,12.29,10.13,0.47,5.71,1.15
20.png,button_3,OK,1445.0,1445.5,10.13,10.95,0.47,5.71,3.03
20.png,button_4,OK,1578.0,1235.0,11.46,9.55,0.47,5.71,1.23
20.png,button_5,OK,1372.0,1316.5,10.13,10.95,0.47,5.71,1.12
20.png,button_6,OK,1580.0,1155.0,12.29,9.55,0.47,5.71,3.17
20.png,button_7,OK,1535.5,1265.0,10.38,10.13,0.47,5.71,2.5
20.png,button_8,OK,1575.0,1107.0,12.29,9.3,0.47,5.71,0.86
21.png,button_1,OK,1394.0,1461.0,10.13,11.21,1.34,5.28,0.76
21.png,button_2,OK,1632.5,1375.5,12.04,10.13,1.34,5.28,1.94
21.png,button_3,OK,1204.0,1522.5,9.55,11.46,1.34,5.28,5.12
21.png,button_4,OK,1545.0,1427.5,11.46,10.13,1.34,5.28,1.63
21.png,button_5,OK,1312.0,1353.5,10.13,11.18,1.34,5.28,1.26
21.png,button_6,OK,1589.5,1156.5,12.29,9.55,1.34,5.28,3.71
21.png,button_7,OK,1317.0,1348.5,9.55,10.95,1.34,5.28,2.79
21.png,button_8,OK,1491.5,1033.5,11.46,7.39,1.34,5.28,0.77
